parent,child,parents,full
Medical Center,Dentist's Office,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Dentist's Office
Medical Center,Eye Doctor,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Eye Doctor
Medical Center,Mental Health Office,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Mental Health Office
Medical Center,Acupuncturist,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Acupuncturist
Medical Center,Veterinarian,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Veterinarian
Medical Center,Alternative Healer,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Alternative Healer
Medical Center,Maternity Clinic,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Maternity Clinic
Medical Center,Urgent Care Center,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Urgent Care Center
Medical Center,Emergency Room,root|Professional & Other Places|Medical Center,root|Professional & Other Places|Medical Center|Emergency Room
Professional & Other Places,Funeral Home,root|Professional & Other Places,root|Professional & Other Places|Funeral Home
Professional & Other Places,Ballroom,root|Professional & Other Places,root|Professional & Other Places|Ballroom
Professional & Other Places,TV Station,root|Professional & Other Places,root|Professional & Other Places|TV Station
Professional & Other Places,Cultural Center,root|Professional & Other Places,root|Professional & Other Places|Cultural Center
Professional & Other Places,Social Club,root|Professional & Other Places,root|Professional & Other Places|Social Club
Professional & Other Places,Post Office,root|Professional & Other Places,root|Professional & Other Places|Post Office
Professional & Other Places,Wedding Hall,root|Professional & Other Places,root|Professional & Other Places|Wedding Hall
Professional & Other Places,Non-Profit,root|Professional & Other Places,root|Professional & Other Places|Non-Profit
Professional & Other Places,Building,root|Professional & Other Places,root|Professional & Other Places|Building
Professional & Other Places,School,root|Professional & Other Places,root|Professional & Other Places|School
School,Private School,root|Professional & Other Places|School,root|Professional & Other Places|School|Private School
School,Religious School,root|Professional & Other Places|School,root|Professional & Other Places|School|Religious School
School,Middle School,root|Professional & Other Places|School,root|Professional & Other Places|School|Middle School
School,High School,root|Professional & Other Places|School,root|Professional & Other Places|School|High School
